Year, Month, Day, Hour, Minute, Second, Millisecond, taskTime, state, pos.x, pos.y, pos.z, eulerAngle.x, eulerAngle.y, eulerAngle.z
2023, 06, 06, 12, 31, 42, 184, 1.18184, 2, 7.35874, 0.308944, 1.30705, -0.00818905, -0.00206141, 0.0145616
2023, 06, 06, 12, 31, 42, 206, 1.2019, 2, 7.36011, 0.310958, 1.30915, -0.00777852, -0.00322098, 0.0150119
2023, 06, 06, 12, 31, 42, 225, 1.22195, 2, 7.36011, 0.310958, 1.30939, -0.00816439, -0.0052727, 0.0149497
2023, 06, 06, 12, 31, 42, 243, 1.24185, 2, 7.36118, 0.312678, 1.30664, -0.00736343, -0.00627266, 0.0146635
2023, 06, 06, 12, 31, 42, 270, 1.26188, 2, 7.36118, 0.312678, 1.30688, -0.00673598, -0.00750122, 0.0151615
2023, 06, 06, 12, 31, 42, 282, 1.28184, 2, 7.36163, 0.308972, 1.30891, -0.00667084, -0.00971877, 0.0151093
2023, 06, 06, 12, 31, 42, 305, 1.30193, 2, 7.36247, 0.310351, 1.30891, -0.00650216, -0.010307, 0.0147426
2023, 06, 06, 12, 31, 42, 326, 1.32465, 2, 7.36404, 0.307542, 1.30915, -0.00643676, -0.0117613, 0.0150871
2023, 06, 06, 12, 31, 42, 342, 1.34194, 2, 7.36404, 0.307542, 1.30975, -0.0058983, -0.013402, 0.0148634
2023, 06, 06, 12, 31, 42, 365, 1.36186, 2, 7.3646, 0.309967, 1.30999, -0.00561165, -0.0140021, 0.0149413
2023, 06, 06, 12, 31, 42, 383, 1.38195, 2, 7.3646, 0.309967, 1.31209, -0.00554589, -0.0154802, 0.0148777
2023, 06, 06, 12, 31, 42, 403, 1.40187, 2, 7.36791, 0.315121, 1.31392, -0.00520589, -0.016416, 0.0148121
2023, 06, 06, 12, 31, 42, 426, 1.42189, 2, 7.36791, 0.315121, 1.31416, -0.00500665, -0.0173708, 0.0150205
2023, 06, 06, 12, 31, 42, 450, 1.44196, 2, 7.36857, 0.314009, 1.31357, -0.00443519, -0.0191117, 0.0145969
2023, 06, 06, 12, 31, 42, 463, 1.46185, 2, 7.36857, 0.314009, 1.3138, -0.00467152, -0.019414, 0.0146331
2023, 06, 06, 12, 31, 42, 482, 1.48188, 2, 7.36857, 0.314009, 1.31214, -0.00478902, -0.020123, 0.0150317
2023, 06, 06, 12, 31, 42, 503, 1.50188, 2, 7.3716, 0.313111, 1.31364, -0.00385325, -0.0211083, 0.0144636
2023, 06, 06, 12, 31, 42, 524, 1.52189, 2, 7.3716, 0.313111, 1.31393, -0.00370085, -0.0211273, 0.0145857
2023, 06, 06, 12, 31, 42, 542, 1.54223, 2, 7.37358, 0.31317, 1.31347, -0.00378888, -0.0219789, 0.014745
2023, 06, 06, 12, 31, 42, 566, 1.56269, 2, 7.37358, 0.31317, 1.31381, -0.00319881, -0.0222685, 0.0143722
2023, 06, 06, 12, 31, 42, 585, 1.58189, 2, 7.37669, 0.313993, 1.31334, -0.0031582, -0.0225826, 0.0146205
2023, 06, 06, 12, 31, 42, 607, 1.60189, 2, 7.37669, 0.312712, 1.31545, -0.00307187, -0.023586, 0.0144728
2023, 06, 06, 12, 31, 42, 622, 1.62184, 2, 7.37998, 0.313539, 1.31578, -0.00324991, -0.0235224, 0.0142595
