Year, Month, Day, Hour, Minute, Second, Millisecond, ros_time, state, pos.x, pos.y, pos.z
2023, 06, 02, 10, 41, 38, 862, 1.68567e+09, 0, 0.287653, 0.11118, 0.122312
2023, 06, 02, 10, 41, 38, 883, 1.68567e+09, 0, 0.287669, 0.111181, 0.122341
2023, 06, 02, 10, 41, 38, 903, 1.68567e+09, 0, 0.287686, 0.111178, 0.122391
2023, 06, 02, 10, 41, 38, 921, 1.68567e+09, 0, 0.287862, 0.111281, 0.122529
2023, 06, 02, 10, 41, 38, 942, 1.68567e+09, 0, 0.28788, 0.111278, 0.122574
2023, 06, 02, 10, 41, 38, 961, 1.68567e+09, 0, 0.287896, 0.111274, 0.122665
2023, 06, 02, 10, 41, 38, 981, 1.68567e+09, 0, 0.28791, 0.111268, 0.122659
2023, 06, 02, 10, 41, 39, 001, 1.68567e+09, 0, 0.287928, 0.111263, 0.122702
2023, 06, 02, 10, 41, 39, 021, 1.68567e+09, 0, 0.28824, 0.111527, 0.122683
2023, 06, 02, 10, 41, 39, 041, 1.68567e+09, 0, 0.288259, 0.111521, 0.122636
2023, 06, 02, 10, 41, 39, 062, 1.68567e+09, 0, 0.288277, 0.111513, 0.122585
2023, 06, 02, 10, 41, 39, 083, 1.68567e+09, 0, 0.28844, 0.11161, 0.122452
2023, 06, 02, 10, 41, 39, 101, 1.68567e+09, 0, 0.28846, 0.1116, 0.122313
2023, 06, 02, 10, 41, 39, 122, 1.68567e+09, 0, 0.288481, 0.111588, 0.122268
2023, 06, 02, 10, 41, 39, 141, 1.68567e+09, 0, 0.288499, 0.111573, 0.122136
2023, 06, 02, 10, 41, 39, 161, 1.68567e+09, 0, 0.288516, 0.111557, 0.122195
2023, 06, 02, 10, 41, 39, 181, 1.68567e+09, 0, 0.288533, 0.111539, 0.122138
2023, 06, 02, 10, 41, 39, 201, 1.68567e+09, 0, 0.288552, 0.111523, 0.122228
2023, 06, 02, 10, 41, 39, 222, 1.68567e+09, 0, 0.288429, 0.11142, 0.122214
2023, 06, 02, 10, 41, 39, 241, 1.68567e+09, 0, 0.288445, 0.111403, 0.122227
2023, 06, 02, 10, 41, 39, 261, 1.68567e+09, 0, 0.288462, 0.111387, 0.122358
2023, 06, 02, 10, 41, 39, 282, 1.68567e+09, 0, 0.288479, 0.111373, 0.122372
2023, 06, 02, 10, 41, 39, 301, 1.68567e+09, 0, 0.288495, 0.111358, 0.122361
2023, 06, 02, 10, 41, 39, 322, 1.68567e+09, 0, 0.287947, 0.111333, 0.122431
2023, 06, 02, 10, 41, 39, 342, 1.68567e+09, 0, 0.287961, 0.111314, 0.122426
2023, 06, 02, 10, 41, 39, 363, 1.68567e+09, 0, 0.287975, 0.111296, 0.122495
2023, 06, 02, 10, 41, 39, 381, 1.68567e+09, 0, 0.287991, 0.111278, 0.122459
2023, 06, 02, 10, 41, 39, 401, 1.68567e+09, 0, 0.28801, 0.111262, 0.12251
2023, 06, 02, 10, 41, 39, 421, 1.68567e+09, 0, 0.288379, 0.110828, 0.122501
2023, 06, 02, 10, 41, 39, 443, 1.68567e+09, 0, 0.288398, 0.110806, 0.122517
2023, 06, 02, 10, 41, 39, 463, 1.68567e+09, 0, 0.288416, 0.110783, 0.122616
2023, 06, 02, 10, 41, 39, 480, 1.68567e+09, 0, 0.288433, 0.110759, 0.122662
2023, 06, 02, 10, 41, 39, 502, 1.68567e+09, 0, 0.287997, 0.110927, 0.122717
2023, 06, 02, 10, 41, 39, 521, 1.68567e+09, 0, 0.288179, 0.111303, 0.122783
2023, 06, 02, 10, 41, 39, 540, 1.68567e+09, 0, 0.288193, 0.111277, 0.122839
2023, 06, 02, 10, 41, 39, 561, 1.68567e+09, 0, 0.288206, 0.111249, 0.122904
2023, 06, 02, 10, 41, 39, 581, 1.68567e+09, 0, 0.288221, 0.11122, 0.122924
2023, 06, 02, 10, 41, 39, 603, 1.68567e+09, 0, 0.288235, 0.111188, 0.122952
2023, 06, 02, 10, 41, 39, 622, 1.68567e+09, 0, 0.288572, 0.111388, 0.122966
2023, 06, 02, 10, 41, 39, 643, 1.68567e+09, 0, 0.288589, 0.111347, 0.122976
2023, 06, 02, 10, 41, 39, 661, 1.68567e+09, 0, 0.288606, 0.111308, 0.123006
2023, 06, 02, 10, 41, 39, 680, 1.68567e+09, 0, 0.28862, 0.11127, 0.123048
2023, 06, 02, 10, 41, 39, 701, 1.68567e+09, 0, 0.288632, 0.111228, 0.123092
2023, 06, 02, 10, 41, 39, 721, 1.68567e+09, 0, 0.28885, 0.11138, 0.123116
2023, 06, 02, 10, 41, 39, 742, 1.68567e+09, 0, 0.288863, 0.111342, 0.123155
2023, 06, 02, 10, 41, 39, 760, 1.68567e+09, 0, 0.288873, 0.111305, 0.123198
2023, 06, 02, 10, 41, 39, 781, 1.68567e+09, 0, 0.288883, 0.111266, 0.12329
2023, 06, 02, 10, 41, 39, 802, 1.68567e+09, 0, 0.288892, 0.111227, 0.123314
2023, 06, 02, 10, 41, 39, 822, 1.68567e+09, 0, 0.288336, 0.11091, 0.123387
2023, 06, 02, 10, 41, 39, 842, 1.68567e+09, 0, 0.288341, 0.110875, 0.123488
2023, 06, 02, 10, 41, 39, 861, 1.68567e+09, 0, 0.288346, 0.110844, 0.123504
2023, 06, 02, 10, 41, 39, 882, 1.68567e+09, 0, 0.28835, 0.110814, 0.1236
2023, 06, 02, 10, 41, 39, 901, 1.68567e+09, 0, 0.288354, 0.110787, 0.123687
2023, 06, 02, 10, 41, 39, 921, 1.68567e+09, 0, 0.287993, 0.110724, 0.123674
2023, 06, 02, 10, 41, 39, 942, 1.68567e+09, 0, 0.287705, 0.111268, 0.123786
2023, 06, 02, 10, 41, 39, 963, 1.68567e+09, 0, 0.287705, 0.111249, 0.123777
2023, 06, 02, 10, 41, 39, 983, 1.68567e+09, 0, 0.287705, 0.111233, 0.123891
2023, 06, 02, 10, 41, 40, 002, 1.68567e+09, 0, 0.287705, 0.111217, 0.124027
2023, 06, 02, 10, 41, 40, 021, 1.68567e+09, 0, 0.287779, 0.111098, 0.12403
2023, 06, 02, 10, 41, 40, 041, 1.68567e+09, 0, 0.287777, 0.111091, 0.124206
2023, 06, 02, 10, 41, 40, 061, 1.68567e+09, 0, 0.287773, 0.111084, 0.124186
2023, 06, 02, 10, 41, 40, 081, 1.68567e+09, 0, 0.287767, 0.111075, 0.124367
2023, 06, 02, 10, 41, 40, 102, 1.68567e+09, 0, 0.287761, 0.111064, 0.124539
2023, 06, 02, 10, 41, 40, 120, 1.68567e+09, 0, 0.287913, 0.110755, 0.124455
2023, 06, 02, 10, 41, 40, 142, 1.68567e+09, 0, 0.287906, 0.110743, 0.124575
2023, 06, 02, 10, 41, 40, 162, 1.68567e+09, 0, 0.287898, 0.110729, 0.124447
2023, 06, 02, 10, 41, 40, 183, 1.68567e+09, 0, 0.287894, 0.110714, 0.124543
2023, 06, 02, 10, 41, 40, 201, 1.68567e+09, 0, 0.28789, 0.1107, 0.12459
2023, 06, 02, 10, 41, 40, 222, 1.68567e+09, 0, 0.288368, 0.111085, 0.124373
2023, 06, 02, 10, 41, 40, 243, 1.68567e+09, 0, 0.288362, 0.111064, 0.124384
2023, 06, 02, 10, 41, 40, 261, 1.68567e+09, 0, 0.288357, 0.111043, 0.124225
2023, 06, 02, 10, 41, 40, 281, 1.68567e+09, 0, 0.288353, 0.111022, 0.124273
2023, 06, 02, 10, 41, 40, 302, 1.68567e+09, 0, 0.288353, 0.111, 0.12431
2023, 06, 02, 10, 41, 40, 322, 1.68567e+09, 0, 0.287797, 0.110827, 0.12417
2023, 06, 02, 10, 41, 40, 341, 1.68567e+09, 0, 0.287801, 0.110798, 0.124199
2023, 06, 02, 10, 41, 40, 361, 1.68567e+09, 0, 0.28781, 0.1112, 0.124023
2023, 06, 02, 10, 41, 40, 381, 1.68567e+09, 0, 0.287814, 0.111172, 0.124002
2023, 06, 02, 10, 41, 40, 401, 1.68567e+09, 0, 0.28782, 0.111142, 0.123959
2023, 06, 02, 10, 41, 40, 420, 1.68567e+09, 0, 0.287675, 0.111112, 0.12376
2023, 06, 02, 10, 41, 40, 441, 1.68567e+09, 0, 0.28768, 0.111079, 0.123691
2023, 06, 02, 10, 41, 40, 462, 1.68567e+09, 0, 0.287687, 0.111046, 0.123518
2023, 06, 02, 10, 41, 40, 480, 1.68567e+09, 0, 0.287695, 0.111013, 0.123419
2023, 06, 02, 10, 41, 40, 503, 1.68567e+09, 0, 0.287705, 0.11098, 0.123317
2023, 06, 02, 10, 41, 40, 520, 1.68567e+09, 0, 0.287822, 0.111274, 0.123192
2023, 06, 02, 10, 41, 40, 541, 1.68567e+09, 0, 0.287837, 0.111243, 0.123118
2023, 06, 02, 10, 41, 40, 561, 1.68567e+09, 0, 0.287852, 0.111213, 0.123003
2023, 06, 02, 10, 41, 40, 582, 1.68567e+09, 0, 0.287867, 0.111186, 0.122889
2023, 06, 02, 10, 41, 40, 602, 1.68567e+09, 0, 0.287883, 0.11116, 0.122783
2023, 06, 02, 10, 41, 40, 622, 1.68567e+09, 0, 0.287768, 0.110834, 0.122746
2023, 06, 02, 10, 41, 40, 642, 1.68567e+09, 0, 0.287781, 0.110813, 0.1227
2023, 06, 02, 10, 41, 40, 663, 1.68567e+09, 0, 0.287794, 0.110793, 0.122714
2023, 06, 02, 10, 41, 40, 680, 1.68567e+09, 0, 0.287807, 0.110769, 0.122677
2023, 06, 02, 10, 41, 40, 701, 1.68567e+09, 0, 0.287819, 0.110744, 0.122599
2023, 06, 02, 10, 41, 40, 722, 1.68567e+09, 0, 0.288147, 0.110842, 0.122563
2023, 06, 02, 10, 41, 40, 741, 1.68567e+09, 0, 0.288156, 0.110825, 0.122461
2023, 06, 02, 10, 41, 40, 761, 1.68567e+09, 0, 0.288162, 0.11081, 0.122428
2023, 06, 02, 10, 41, 40, 781, 1.68567e+09, 0, 0.288034, 0.111418, 0.12228
2023, 06, 02, 10, 41, 40, 801, 1.68567e+09, 0, 0.28804, 0.111409, 0.122168
2023, 06, 02, 10, 41, 40, 822, 1.68567e+09, 0, 0.287906, 0.111324, 0.122224
2023, 06, 02, 10, 41, 40, 841, 1.68567e+09, 0, 0.28791, 0.11132, 0.122172
2023, 06, 02, 10, 41, 40, 860, 1.68567e+09, 0, 0.287914, 0.111318, 0.122249
2023, 06, 02, 10, 41, 40, 880, 1.68567e+09, 0, 0.287917, 0.111317, 0.122206
2023, 06, 02, 10, 41, 40, 903, 1.68567e+09, 0, 0.28792, 0.111317, 0.122168
2023, 06, 02, 10, 41, 40, 922, 1.68567e+09, 0, 0.28789, 0.111206, 0.122268
